波次 目标名称 目标类型 目标区域 经度 纬度 剩余时间
1 雄风导弹发射车(XF)-1-1 雄风导弹发射车(XF) 区域6 120.866912352978 22.7873845779105 19.5
1 伽伯列导弹发射车(JBL)-1-1 伽伯列导弹发射车(JBL) 区域4 120.850510743499 23.5418151913159 13.5
1 伽伯列导弹发射车(JBL)-1-2 伽伯列导弹发射车(JBL) 区域1 121.583543655381 24.6009477192678 13.5
1 “鱼叉”导弹发射车(YC)-1-1 “鱼叉”导弹发射车(YC) 区域1 121.502765806788 24.4390904132807 9
1 “鱼叉”导弹发射车(YC)-1-2 “鱼叉”导弹发射车(YC) 区域1 121.421456250928 24.5028677401929 9
1 “鱼叉”导弹发射车(YC)-1-3 “鱼叉”导弹发射车(YC) 区域2 120.754644730425 24.1250591942725 9
2 雄风导弹发射车(XF)-2-1 雄风导弹发射车(XF) 区域3 121.336352437721 23.4351277119198 15
2 雄风导弹发射车(XF)-2-2 雄风导弹发射车(XF) 区域2 120.64406639315 24.0851294109254 15
2 雄风导弹发射车(XF)-2-3 雄风导弹发射车(XF) 区域5 121.092141240443 23.0284584751399 15
2 伽伯列导弹发射车(JBL)-2-1 伽伯列导弹发射车(JBL) 区域5 121.198334078406 23.0424764078623 13.5
2 伽伯列导弹发射车(JBL)-2-2 伽伯列导弹发射车(JBL) 区域2 120.721372927272 24.1810543032522 13.5
2 伽伯列导弹发射车(JBL)-2-3 伽伯列导弹发射车(JBL) 区域2 120.909463303775 24.318941499557 13.5
2 “鱼叉”导弹发射车(YC)-2-1 “鱼叉”导弹发射车(YC) 区域4 120.674630218552 23.4598661150831 9
2 “鱼叉”导弹发射车(YC)-2-2 “鱼叉”导弹发射车(YC) 区域2 120.774313131261 24.1145921093655 9
2 “鱼叉”导弹发射车(YC)-2-3 “鱼叉”导弹发射车(YC) 区域4 121.075437046529 23.4949535887886 9
2 “鱼叉”导弹发射车(YC)-2-4 “鱼叉”导弹发射车(YC) 区域6 120.782869569693 22.4975616799566 9
3 雄风导弹发射车(XF)-3-1 雄风导弹发射车(XF) 区域1 121.508987773171 24.7252670504163 10
3 雄风导弹发射车(XF)-3-2 雄风导弹发射车(XF) 区域6 120.888358799496 22.8142927332162 10
3 雄风导弹发射车(XF)-3-3 雄风导弹发射车(XF) 区域3 121.190081950932 23.6483006439749 10
3 伽伯列导弹发射车(JBL)-3-1 伽伯列导弹发射车(JBL) 区域2 120.688942091746 24.0863870061124 10
3 伽伯列导弹发射车(JBL)-3-2 伽伯列导弹发射车(JBL) 区域1 121.503569523808 24.8190457327317 10
3 伽伯列导弹发射车(JBL)-3-3 伽伯列导弹发射车(JBL) 区域4 120.715972774088 23.5311968209616 10
3 “鱼叉”导弹发射车(YC)-3-1 “鱼叉”导弹发射车(YC) 区域4 121.056648714329 23.5596316600795 8
3 “鱼叉”导弹发射车(YC)-3-2 “鱼叉”导弹发射车(YC) 区域3 121.321136454318 23.5376085982153 8
3 “鱼叉”导弹发射车(YC)-3-3 “鱼叉”导弹发射车(YC) 区域4 120.96814357692 23.4905612037241 8
3 “鱼叉”导弹发射车(YC)-3-4 “鱼叉”导弹发射车(YC) 区域1 121.54698852392 24.3560963209142 8
